Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,SK,Slovakia,t CO2 equivalent,-9332.804449899,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
1991,Member States,SK,Slovakia,t CO2 equivalent,-10166.984336168,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
1992,Member States,SK,Slovakia,t CO2 equivalent,-10800.826661668,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
1993,Member States,SK,Slovakia,t CO2 equivalent,-10592.010079589,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
1994,Member States,SK,Slovakia,t CO2 equivalent,-10033.959748745,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
1995,Member States,SK,Slovakia,t CO2 equivalent,-9486.948231930,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
1996,Member States,SK,Slovakia,t CO2 equivalent,-9401.173674451,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
1997,Member States,SK,Slovakia,t CO2 equivalent,-9193.125647724,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
1998,Member States,SK,Slovakia,t CO2 equivalent,-10263.094590723,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
1999,Member States,SK,Slovakia,t CO2 equivalent,-9423.402451918,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2000,Member States,SK,Slovakia,t CO2 equivalent,-9395.357350556,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2001,Member States,SK,Slovakia,t CO2 equivalent,-8712.690001319,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2002,Member States,SK,Slovakia,t CO2 equivalent,-9191.952786230,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2003,Member States,SK,Slovakia,t CO2 equivalent,-8622.114977705,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2004,Member States,SK,Slovakia,t CO2 equivalent,-8640.556889958,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2005,Member States,SK,Slovakia,t CO2 equivalent,-4750.019849094,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2006,Member States,SK,Slovakia,t CO2 equivalent,-7861.850004157,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2007,Member States,SK,Slovakia,t CO2 equivalent,-7394.990522355,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2008,Member States,SK,Slovakia,t CO2 equivalent,-6299.319258510,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2009,Member States,SK,Slovakia,t CO2 equivalent,-6073.043055813,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2010,Member States,SK,Slovakia,t CO2 equivalent,-5212.744907272,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
2011,Member States,SK,Slovakia,t CO2 equivalent,-5563.648539855,All greenhouse gases - (CO2 equivalent),"4 - Land Use, Land-Use Change and Forestry"
