Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,SK,Slovakia,t CO2 equivalent,6068.303961736,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,Member States,SK,Slovakia,t CO2 equivalent,5251.429558087,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,Member States,SK,Slovakia,t CO2 equivalent,4135.100390337,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,Member States,SK,Slovakia,t CO2 equivalent,3684.888347025,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,Member States,SK,Slovakia,t CO2 equivalent,3532.140847989,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,Member States,SK,Slovakia,t CO2 equivalent,3585.504337692,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,Member States,SK,Slovakia,t CO2 equivalent,3470.780218690,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,Member States,SK,Slovakia,t CO2 equivalent,3402.269136541,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,Member States,SK,Slovakia,t CO2 equivalent,3058.552863637,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,Member States,SK,Slovakia,t CO2 equivalent,2882.887008275,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,Member States,SK,Slovakia,t CO2 equivalent,2855.301407430,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,Member States,SK,Slovakia,t CO2 equivalent,3009.145568761,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,Member States,SK,Slovakia,t CO2 equivalent,3013.021670244,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,Member States,SK,Slovakia,t CO2 equivalent,2737.947336769,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,Member States,SK,Slovakia,t CO2 equivalent,2714.412696018,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,Member States,SK,Slovakia,t CO2 equivalent,2720.875483262,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,Member States,SK,Slovakia,t CO2 equivalent,2530.990897034,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,Member States,SK,Slovakia,t CO2 equivalent,2601.652996761,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,Member States,SK,Slovakia,t CO2 equivalent,2719.483005352,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,Member States,SK,Slovakia,t CO2 equivalent,2467.935026351,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,Member States,SK,Slovakia,t CO2 equivalent,2581.751533472,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,Member States,SK,Slovakia,t CO2 equivalent,2514.024174359,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,Member States,SK,Slovakia,t CO2 equivalent,2429.129417863,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2013,Member States,SK,Slovakia,t CO2 equivalent,2565.196323761,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2014,Member States,SK,Slovakia,t CO2 equivalent,2698.256580606,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2015,Member States,SK,Slovakia,t CO2 equivalent,2516.868443757,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2016,Member States,SK,Slovakia,t CO2 equivalent,2636.219519387,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2017,Member States,SK,Slovakia,t CO2 equivalent,2492.062340943,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2018,Member States,SK,Slovakia,t CO2 equivalent,2512.481391436,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2019,Member States,SK,Slovakia,t CO2 equivalent,2529.014955312,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2020,Member States,SK,Slovakia,t CO2 equivalent,2531.752779796,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2021,Member States,SK,Slovakia,t CO2 equivalent,2430.569540436,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1990,Member States,SI,Slovenia,t CO2 equivalent,1951.301788370,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,Member States,SI,Slovenia,t CO2 equivalent,1832.540168089,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,Member States,SI,Slovenia,t CO2 equivalent,1947.358840788,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,Member States,SI,Slovenia,t CO2 equivalent,1838.742499237,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,Member States,SI,Slovenia,t CO2 equivalent,1855.137138572,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,Member States,SI,Slovenia,t CO2 equivalent,1855.023754578,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,Member States,SI,Slovenia,t CO2 equivalent,1793.791374576,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,Member States,SI,Slovenia,t CO2 equivalent,1743.341407713,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,Member States,SI,Slovenia,t CO2 equivalent,1783.309638316,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,Member States,SI,Slovenia,t CO2 equivalent,1799.007550071,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,Member States,SI,Slovenia,t CO2 equivalent,1892.158924255,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,Member States,SI,Slovenia,t CO2 equivalent,1867.710264006,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,Member States,SI,Slovenia,t CO2 equivalent,1928.001910383,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,Member States,SI,Slovenia,t CO2 equivalent,1832.830216594,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,Member States,SI,Slovenia,t CO2 equivalent,1781.473809774,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,Member States,SI,Slovenia,t CO2 equivalent,1798.734801616,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,Member States,SI,Slovenia,t CO2 equivalent,1797.927938304,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,Member States,SI,Slovenia,t CO2 equivalent,1858.885665034,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,Member States,SI,Slovenia,t CO2 equivalent,1781.552347895,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,Member States,SI,Slovenia,t CO2 equivalent,1790.482907875,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,Member States,SI,Slovenia,t CO2 equivalent,1758.289205767,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,Member States,SI,Slovenia,t CO2 equivalent,1740.606766528,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,Member States,SI,Slovenia,t CO2 equivalent,1724.582300183,All greenhouse gases - (CO2 equivalent),3 - Agriculture
