Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,SK,Slovakia,t CO2 equivalent,64561.211821211,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1991,Member States,SK,Slovakia,t CO2 equivalent,54325.790891521,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1992,Member States,SK,Slovakia,t CO2 equivalent,47967.476783132,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1993,Member States,SK,Slovakia,t CO2 equivalent,44791.998275957,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1994,Member States,SK,Slovakia,t CO2 equivalent,42783.826747335,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1995,Member States,SK,Slovakia,t CO2 equivalent,43823.322558169,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1996,Member States,SK,Slovakia,t CO2 equivalent,43734.626833759,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1997,Member States,SK,Slovakia,t CO2 equivalent,43756.734066410,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1998,Member States,SK,Slovakia,t CO2 equivalent,41980.35286737,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1999,Member States,SK,Slovakia,t CO2 equivalent,41554.559411368,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2000,Member States,SK,Slovakia,t CO2 equivalent,39703.990145600,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2001,Member States,SK,Slovakia,t CO2 equivalent,42654.353720012,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2002,Member States,SK,Slovakia,t CO2 equivalent,40796.584408730,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2003,Member States,SK,Slovakia,t CO2 equivalent,41480.864183365,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2004,Member States,SK,Slovakia,t CO2 equivalent,42197.986897386,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2005,Member States,SK,Slovakia,t CO2 equivalent,46123.701194572,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2006,Member States,SK,Slovakia,t CO2 equivalent,42822.061342056,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2007,Member States,SK,Slovakia,t CO2 equivalent,41536.285428085,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2008,Member States,SK,Slovakia,t CO2 equivalent,43173.554236682,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2009,Member States,SK,Slovakia,t CO2 equivalent,39085.463678591,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2010,Member States,SK,Slovakia,t CO2 equivalent,40736.239465283,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2011,Member States,SK,Slovakia,t CO2 equivalent,39469.953702607,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2012,Member States,SK,Slovakia,t CO2 equivalent,35957.703045877,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2013,Member States,SK,Slovakia,t CO2 equivalent,34859.554536361,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2014,Member States,SK,Slovakia,t CO2 equivalent,35076.618176904,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2015,Member States,SK,Slovakia,t CO2 equivalent,35315.565580897,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2016,Member States,SK,Slovakia,t CO2 equivalent,35697.245236096,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2017,Member States,SK,Slovakia,t CO2 equivalent,36908.322046440,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2018,Member States,SK,Slovakia,t CO2 equivalent,37763.978532198,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2019,Member States,SK,Slovakia,t CO2 equivalent,34673.224615866,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2020,Member States,SK,Slovakia,t CO2 equivalent,29593.511593578,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2021,Member States,SK,Slovakia,t CO2 equivalent,33678.003438732,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1990,Member States,SI,Slovenia,t CO2 equivalent,14452.337353374,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1991,Member States,SI,Slovenia,t CO2 equivalent,12721.575084923,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1992,Member States,SI,Slovenia,t CO2 equivalent,12602.325584283,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1993,Member States,SI,Slovenia,t CO2 equivalent,12852.189265994,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1994,Member States,SI,Slovenia,t CO2 equivalent,13085.914801543,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1995,Member States,SI,Slovenia,t CO2 equivalent,13784.848440565,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1996,Member States,SI,Slovenia,t CO2 equivalent,13807.567213196,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1997,Member States,SI,Slovenia,t CO2 equivalent,14139.178114927,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1998,Member States,SI,Slovenia,t CO2 equivalent,13586.660164054,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1999,Member States,SI,Slovenia,t CO2 equivalent,12944.709218897,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2000,Member States,SI,Slovenia,t CO2 equivalent,12637.918970704,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2001,Member States,SI,Slovenia,t CO2 equivalent,13869.951851408,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2002,Member States,SI,Slovenia,t CO2 equivalent,13033.847190858,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2003,Member States,SI,Slovenia,t CO2 equivalent,13005.403146382,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2004,Member States,SI,Slovenia,t CO2 equivalent,13258.890794108,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2005,Member States,SI,Slovenia,t CO2 equivalent,13480.155650191,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2006,Member States,SI,Slovenia,t CO2 equivalent,13662.975495312,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2007,Member States,SI,Slovenia,t CO2 equivalent,13558.096876616,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2008,Member States,SI,Slovenia,t CO2 equivalent,14542.523882892,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2009,Member States,SI,Slovenia,t CO2 equivalent,12405.385531710,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2010,Member States,SI,Slovenia,t CO2 equivalent,12704.457116527,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2011,Member States,SI,Slovenia,t CO2 equivalent,12717.112050797,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2012,Member States,SI,Slovenia,t CO2 equivalent,12142.599964746,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2013,Member States,SI,Slovenia,t CO2 equivalent,13147.745485660,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2014,Member States,SI,Slovenia,t CO2 equivalent,17507.256149957,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2015,Member States,SI,Slovenia,t CO2 equivalent,17795.626265316,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2016,Member States,SI,Slovenia,t CO2 equivalent,18807.812172947,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2017,Member States,SI,Slovenia,t CO2 equivalent,18894.140629518,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2018,Member States,SI,Slovenia,t CO2 equivalent,18837.560421289,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2019,Member States,SI,Slovenia,t CO2 equivalent,13937.835185809,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2020,Member States,SI,Slovenia,t CO2 equivalent,12858.210980700,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2021,Member States,SI,Slovenia,t CO2 equivalent,13027.496138831,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1990,Member States,SE,Sweden,t CO2 equivalent,26494.806237256,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1991,Member States,SE,Sweden,t CO2 equivalent,26623.103912770,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1992,Member States,SE,Sweden,t CO2 equivalent,27083.931137459,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1993,Member States,SE,Sweden,t CO2 equivalent,31626.203884141,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1994,Member States,SE,Sweden,t CO2 equivalent,32710.681147649,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1995,Member States,SE,Sweden,t CO2 equivalent,32141.460466835,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1996,Member States,SE,Sweden,t CO2 equivalent,33520.528657368,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1997,Member States,SE,Sweden,t CO2 equivalent,27916.593166219,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1998,Member States,SE,Sweden,t CO2 equivalent,27828.601957228,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1999,Member States,SE,Sweden,t CO2 equivalent,24534.550580839,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2000,Member States,SE,Sweden,t CO2 equivalent,22094.767070532,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2001,Member States,SE,Sweden,t CO2 equivalent,21928.436203614,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2002,Member States,SE,Sweden,t CO2 equivalent,23277.535179894,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2003,Member States,SE,Sweden,t CO2 equivalent,26351.895126479,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2004,Member States,SE,Sweden,t CO2 equivalent,28310.133129853,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2005,Member States,SE,Sweden,t CO2 equivalent,25116.550884549,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2006,Member States,SE,Sweden,t CO2 equivalent,17807.038187894,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2007,Member States,SE,Sweden,t CO2 equivalent,18946.660144221,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2008,Member States,SE,Sweden,t CO2 equivalent,17073.171000169,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2009,Member States,SE,Sweden,t CO2 equivalent,12589.727167034,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2010,Member States,SE,Sweden,t CO2 equivalent,16224.261894546,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2011,Member States,SE,Sweden,t CO2 equivalent,11146.322259561,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2012,Member States,SE,Sweden,t CO2 equivalent,8049.111367692,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2013,Member States,SE,Sweden,t CO2 equivalent,8285.507419964,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2014,Member States,SE,Sweden,t CO2 equivalent,8101.741852634,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2015,Member States,SE,Sweden,t CO2 equivalent,9340.695034139,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2016,Member States,SE,Sweden,t CO2 equivalent,10811.003868456,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2017,Member States,SE,Sweden,t CO2 equivalent,16559.654684564,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2018,Member States,SE,Sweden,t CO2 equivalent,19155.609814760,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2019,Member States,SE,Sweden,t CO2 equivalent,15028.326056290,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2020,Member States,SE,Sweden,t CO2 equivalent,5865.653915113,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
2021,Member States,SE,Sweden,t CO2 equivalent,7104.271175045,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1990,Member States,RO,Romania,t CO2 equivalent,229329.420686803,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1991,Member States,RO,Romania,t CO2 equivalent,181901.704100558,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1992,Member States,RO,Romania,t CO2 equivalent,165196.85400948,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
1993,Member States,RO,Romania,t CO2 equivalent,153379.091274169,All greenhouse gases - (CO2 equivalent),Total net emissions with international aviation (EU NDC)
