Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,SK,Slovakia,t CO2 equivalent,6816.316370557,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1991,Member States,SK,Slovakia,t CO2 equivalent,5788.356748551,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1992,Member States,SK,Slovakia,t CO2 equivalent,5218.052268274,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1993,Member States,SK,Slovakia,t CO2 equivalent,4955.469301458,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1994,Member States,SK,Slovakia,t CO2 equivalent,4757.403835955,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1995,Member States,SK,Slovakia,t CO2 equivalent,5490.923163020,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1996,Member States,SK,Slovakia,t CO2 equivalent,5719.585075023,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1997,Member States,SK,Slovakia,t CO2 equivalent,5804.031293783,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1998,Member States,SK,Slovakia,t CO2 equivalent,6103.744066760,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1999,Member States,SK,Slovakia,t CO2 equivalent,5956.157769061,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2000,Member States,SK,Slovakia,t CO2 equivalent,5721.587832305,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2001,Member States,SK,Slovakia,t CO2 equivalent,6142.753062162,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2002,Member States,SK,Slovakia,t CO2 equivalent,6157.221666823,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2003,Member States,SK,Slovakia,t CO2 equivalent,6077.545100171,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2004,Member States,SK,Slovakia,t CO2 equivalent,6814.907482184,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2005,Member States,SK,Slovakia,t CO2 equivalent,7693.075504002,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2006,Member States,SK,Slovakia,t CO2 equivalent,6841.127439207,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2007,Member States,SK,Slovakia,t CO2 equivalent,7543.392151699,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2008,Member States,SK,Slovakia,t CO2 equivalent,7895.634666501,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2009,Member States,SK,Slovakia,t CO2 equivalent,7001.962959440,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2010,Member States,SK,Slovakia,t CO2 equivalent,7421.479683577,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2011,Member States,SK,Slovakia,t CO2 equivalent,7052.641121523,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2012,Member States,SK,Slovakia,t CO2 equivalent,6928.591676111,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2013,Member States,SK,Slovakia,t CO2 equivalent,6860.613372709,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2014,Member States,SK,Slovakia,t CO2 equivalent,6607.823587984,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2015,Member States,SK,Slovakia,t CO2 equivalent,7293.404034353,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2016,Member States,SK,Slovakia,t CO2 equivalent,7539.581470607,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2017,Member States,SK,Slovakia,t CO2 equivalent,7682.944668504,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2018,Member States,SK,Slovakia,t CO2 equivalent,7808.655736645,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2019,Member States,SK,Slovakia,t CO2 equivalent,8123.049096000,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2020,Member States,SK,Slovakia,t CO2 equivalent,7061.498118251,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
2021,Member States,SK,Slovakia,t CO2 equivalent,7522.682979772,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1990,Member States,SI,Slovenia,t CO2 equivalent,2737.214541861,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1991,Member States,SI,Slovenia,t CO2 equivalent,2593.352835041,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1992,Member States,SI,Slovenia,t CO2 equivalent,2635.308493254,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
1993,Member States,SI,Slovenia,t CO2 equivalent,3185.127453690,All greenhouse gases - (CO2 equivalent),1.A.3 - Transport
