Year,Country code,Country,Tonnes CO2,Gas,Sector Name
1990,SK,Slovakia,6068.303962,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,SK,Slovakia,5251.429558,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,SK,Slovakia,4135.10039,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,SK,Slovakia,3684.888347,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,SK,Slovakia,3532.140848,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,SK,Slovakia,3585.504338,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,SK,Slovakia,3470.780219,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,SK,Slovakia,3402.269137,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,SK,Slovakia,3058.552864,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,SK,Slovakia,2882.887008,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,SK,Slovakia,2855.301407,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,SK,Slovakia,3009.145569,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,SK,Slovakia,3013.02167,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,SK,Slovakia,2737.947337,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,SK,Slovakia,2714.412696,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,SK,Slovakia,2720.875483,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2006,SK,Slovakia,2530.990897,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2007,SK,Slovakia,2601.652997,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2008,SK,Slovakia,2719.483005,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2009,SK,Slovakia,2467.935026,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2010,SK,Slovakia,2581.751533,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2011,SK,Slovakia,2514.024174,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2012,SK,Slovakia,2429.129418,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2013,SK,Slovakia,2565.196324,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2014,SK,Slovakia,2698.256581,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2015,SK,Slovakia,2516.868444,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2016,SK,Slovakia,2636.219519,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2017,SK,Slovakia,2492.062341,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2018,SK,Slovakia,2512.481391,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2019,SK,Slovakia,2529.014955,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2020,SK,Slovakia,2531.75278,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2021,SK,Slovakia,2430.56954,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1990,SI,Slovenia,1951.301788,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1991,SI,Slovenia,1832.540168,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1992,SI,Slovenia,1947.358841,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1993,SI,Slovenia,1838.742499,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1994,SI,Slovenia,1855.137139,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1995,SI,Slovenia,1855.023755,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1996,SI,Slovenia,1793.791375,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1997,SI,Slovenia,1743.341408,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1998,SI,Slovenia,1783.309638,All greenhouse gases - (CO2 equivalent),3 - Agriculture
1999,SI,Slovenia,1799.00755,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2000,SI,Slovenia,1892.158924,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2001,SI,Slovenia,1867.710264,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2002,SI,Slovenia,1928.00191,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2003,SI,Slovenia,1832.830217,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2004,SI,Slovenia,1781.47381,All greenhouse gases - (CO2 equivalent),3 - Agriculture
2005,SI,Slovenia,1798.734802,All greenhouse gases - (CO2 equivalent),3 - Agriculture
