Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,SK,Slovakia,t CO2 equivalent,21658.60206,All greenhouse gases - (CO2 equivalent),Energy supply
1991,Member States,SK,Slovakia,t CO2 equivalent,18603.13941,All greenhouse gases - (CO2 equivalent),Energy supply
1992,Member States,SK,Slovakia,t CO2 equivalent,16547.94813,All greenhouse gases - (CO2 equivalent),Energy supply
1993,Member States,SK,Slovakia,t CO2 equivalent,15251.87812,All greenhouse gases - (CO2 equivalent),Energy supply
1994,Member States,SK,Slovakia,t CO2 equivalent,14458.34398,All greenhouse gases - (CO2 equivalent),Energy supply
1995,Member States,SK,Slovakia,t CO2 equivalent,14211.99824,All greenhouse gases - (CO2 equivalent),Energy supply
1996,Member States,SK,Slovakia,t CO2 equivalent,14210.53036,All greenhouse gases - (CO2 equivalent),Energy supply
1997,Member States,SK,Slovakia,t CO2 equivalent,13951.40908,All greenhouse gases - (CO2 equivalent),Energy supply
1998,Member States,SK,Slovakia,t CO2 equivalent,13994.09753,All greenhouse gases - (CO2 equivalent),Energy supply
1999,Member States,SK,Slovakia,t CO2 equivalent,14122.45696,All greenhouse gases - (CO2 equivalent),Energy supply
2000,Member States,SK,Slovakia,t CO2 equivalent,14195.4475,All greenhouse gases - (CO2 equivalent),Energy supply
2001,Member States,SK,Slovakia,t CO2 equivalent,15184.23954,All greenhouse gases - (CO2 equivalent),Energy supply
2002,Member States,SK,Slovakia,t CO2 equivalent,14305.38217,All greenhouse gases - (CO2 equivalent),Energy supply
2003,Member States,SK,Slovakia,t CO2 equivalent,14728.65306,All greenhouse gases - (CO2 equivalent),Energy supply
2004,Member States,SK,Slovakia,t CO2 equivalent,14362.90285,All greenhouse gases - (CO2 equivalent),Energy supply
2005,Member States,SK,Slovakia,t CO2 equivalent,13319.25885,All greenhouse gases - (CO2 equivalent),Energy supply
2006,Member States,SK,Slovakia,t CO2 equivalent,12646.69453,All greenhouse gases - (CO2 equivalent),Energy supply
2007,Member States,SK,Slovakia,t CO2 equivalent,11767.83628,All greenhouse gases - (CO2 equivalent),Energy supply
2008,Member States,SK,Slovakia,t CO2 equivalent,11870.9145,All greenhouse gases - (CO2 equivalent),Energy supply
2009,Member States,SK,Slovakia,t CO2 equivalent,10648.68121,All greenhouse gases - (CO2 equivalent),Energy supply
2010,Member States,SK,Slovakia,t CO2 equivalent,10286.54627,All greenhouse gases - (CO2 equivalent),Energy supply
2011,Member States,SK,Slovakia,t CO2 equivalent,10360.46235,All greenhouse gases - (CO2 equivalent),Energy supply
2012,Member States,SK,Slovakia,t CO2 equivalent,9707.019565,All greenhouse gases - (CO2 equivalent),Energy supply
2013,Member States,SK,Slovakia,t CO2 equivalent,9183.451072,All greenhouse gases - (CO2 equivalent),Energy supply
2014,Member States,SK,Slovakia,t CO2 equivalent,7973.928838,All greenhouse gases - (CO2 equivalent),Energy supply
2015,Member States,SK,Slovakia,t CO2 equivalent,8349.598541,All greenhouse gases - (CO2 equivalent),Energy supply
2016,Member States,SK,Slovakia,t CO2 equivalent,8270.576192,All greenhouse gases - (CO2 equivalent),Energy supply
2017,Member States,SK,Slovakia,t CO2 equivalent,8208.576909,All greenhouse gases - (CO2 equivalent),Energy supply
2018,Member States,SK,Slovakia,t CO2 equivalent,7942.211257,All greenhouse gases - (CO2 equivalent),Energy supply
2019,Member States,SK,Slovakia,t CO2 equivalent,7600.739817,All greenhouse gases - (CO2 equivalent),Energy supply
2020,Member States,SK,Slovakia,t CO2 equivalent,6919.761513,All greenhouse gases - (CO2 equivalent),Energy supply
2021,Member States,SK,Slovakia,t CO2 equivalent,7481.721392,All greenhouse gases - (CO2 equivalent),Energy supply
1990,Member States,SI,Slovenia,t CO2 equivalent,6935.201106,All greenhouse gases - (CO2 equivalent),Energy supply
1991,Member States,SI,Slovenia,t CO2 equivalent,5952.199417,All greenhouse gases - (CO2 equivalent),Energy supply
1992,Member States,SI,Slovenia,t CO2 equivalent,6534.652908,All greenhouse gases - (CO2 equivalent),Energy supply
1993,Member States,SI,Slovenia,t CO2 equivalent,6277.672683,All greenhouse gases - (CO2 equivalent),Energy supply
1994,Member States,SI,Slovenia,t CO2 equivalent,6038.755523,All greenhouse gases - (CO2 equivalent),Energy supply
1995,Member States,SI,Slovenia,t CO2 equivalent,6255.773008,All greenhouse gases - (CO2 equivalent),Energy supply
1996,Member States,SI,Slovenia,t CO2 equivalent,5838.748053,All greenhouse gases - (CO2 equivalent),Energy supply
1997,Member States,SI,Slovenia,t CO2 equivalent,6294.562473,All greenhouse gases - (CO2 equivalent),Energy supply
1998,Member States,SI,Slovenia,t CO2 equivalent,6530.988256,All greenhouse gases - (CO2 equivalent),Energy supply
1999,Member States,SI,Slovenia,t CO2 equivalent,5808.457363,All greenhouse gases - (CO2 equivalent),Energy supply
2000,Member States,SI,Slovenia,t CO2 equivalent,6107.791934,All greenhouse gases - (CO2 equivalent),Energy supply
2001,Member States,SI,Slovenia,t CO2 equivalent,6816.909051,All greenhouse gases - (CO2 equivalent),Energy supply
2002,Member States,SI,Slovenia,t CO2 equivalent,7117.16329,All greenhouse gases - (CO2 equivalent),Energy supply
2003,Member States,SI,Slovenia,t CO2 equivalent,6874.03464,All greenhouse gases - (CO2 equivalent),Energy supply
2004,Member States,SI,Slovenia,t CO2 equivalent,7006.172222,All greenhouse gases - (CO2 equivalent),Energy supply
2005,Member States,SI,Slovenia,t CO2 equivalent,7018.883425,All greenhouse gases - (CO2 equivalent),Energy supply
2006,Member States,SI,Slovenia,t CO2 equivalent,7086.128719,All greenhouse gases - (CO2 equivalent),Energy supply
2007,Member States,SI,Slovenia,t CO2 equivalent,7314.787059,All greenhouse gases - (CO2 equivalent),Energy supply
2008,Member States,SI,Slovenia,t CO2 equivalent,7069.902434,All greenhouse gases - (CO2 equivalent),Energy supply
2009,Member States,SI,Slovenia,t CO2 equivalent,6777.504482,All greenhouse gases - (CO2 equivalent),Energy supply
2010,Member States,SI,Slovenia,t CO2 equivalent,6910.221608,All greenhouse gases - (CO2 equivalent),Energy supply
2011,Member States,SI,Slovenia,t CO2 equivalent,6938.831016,All greenhouse gases - (CO2 equivalent),Energy supply
2012,Member States,SI,Slovenia,t CO2 equivalent,6615.747726,All greenhouse gases - (CO2 equivalent),Energy supply
2013,Member States,SI,Slovenia,t CO2 equivalent,6274.14692,All greenhouse gases - (CO2 equivalent),Energy supply
2014,Member States,SI,Slovenia,t CO2 equivalent,4841.025466,All greenhouse gases - (CO2 equivalent),Energy supply
