Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,SK,Slovakia,t CO2 equivalent,25636.41711,All greenhouse gases - (CO2 equivalent),Industry
1991,Member States,SK,Slovakia,t CO2 equivalent,22175.52474,All greenhouse gases - (CO2 equivalent),Industry
1992,Member States,SK,Slovakia,t CO2 equivalent,20718.53713,All greenhouse gases - (CO2 equivalent),Industry
1993,Member States,SK,Slovakia,t CO2 equivalent,20988.87179,All greenhouse gases - (CO2 equivalent),Industry
1994,Member States,SK,Slovakia,t CO2 equivalent,20522.19744,All greenhouse gases - (CO2 equivalent),Industry
1995,Member States,SK,Slovakia,t CO2 equivalent,20975.39173,All greenhouse gases - (CO2 equivalent),Industry
1996,Member States,SK,Slovakia,t CO2 equivalent,20835.3285,All greenhouse gases - (CO2 equivalent),Industry
1997,Member States,SK,Slovakia,t CO2 equivalent,20522.81221,All greenhouse gases - (CO2 equivalent),Industry
1998,Member States,SK,Slovakia,t CO2 equivalent,20028.2535,All greenhouse gases - (CO2 equivalent),Industry
1999,Member States,SK,Slovakia,t CO2 equivalent,19119.15685,All greenhouse gases - (CO2 equivalent),Industry
2000,Member States,SK,Slovakia,t CO2 equivalent,17841.15172,All greenhouse gases - (CO2 equivalent),Industry
2001,Member States,SK,Slovakia,t CO2 equivalent,18055.98763,All greenhouse gases - (CO2 equivalent),Industry
2002,Member States,SK,Slovakia,t CO2 equivalent,17978.1899,All greenhouse gases - (CO2 equivalent),Industry
2003,Member States,SK,Slovakia,t CO2 equivalent,18426.82577,All greenhouse gases - (CO2 equivalent),Industry
2004,Member States,SK,Slovakia,t CO2 equivalent,19017.55104,All greenhouse gases - (CO2 equivalent),Industry
2005,Member States,SK,Slovakia,t CO2 equivalent,18501.95013,All greenhouse gases - (CO2 equivalent),Industry
2006,Member States,SK,Slovakia,t CO2 equivalent,19946.91284,All greenhouse gases - (CO2 equivalent),Industry
2007,Member States,SK,Slovakia,t CO2 equivalent,18935.46086,All greenhouse gases - (CO2 equivalent),Industry
2008,Member States,SK,Slovakia,t CO2 equivalent,18644.30112,All greenhouse gases - (CO2 equivalent),Industry
2009,Member States,SK,Slovakia,t CO2 equivalent,16674.58,All greenhouse gases - (CO2 equivalent),Industry
2010,Member States,SK,Slovakia,t CO2 equivalent,16953.02937,All greenhouse gases - (CO2 equivalent),Industry
2011,Member States,SK,Slovakia,t CO2 equivalent,17748.19964,All greenhouse gases - (CO2 equivalent),Industry
2012,Member States,SK,Slovakia,t CO2 equivalent,15924.48314,All greenhouse gases - (CO2 equivalent),Industry
2013,Member States,SK,Slovakia,t CO2 equivalent,15795.11824,All greenhouse gases - (CO2 equivalent),Industry
2014,Member States,SK,Slovakia,t CO2 equivalent,16131.48925,All greenhouse gases - (CO2 equivalent),Industry
2015,Member States,SK,Slovakia,t CO2 equivalent,15798.85614,All greenhouse gases - (CO2 equivalent),Industry
2016,Member States,SK,Slovakia,t CO2 equivalent,15952.94557,All greenhouse gases - (CO2 equivalent),Industry
2017,Member States,SK,Slovakia,t CO2 equivalent,16659.2184,All greenhouse gases - (CO2 equivalent),Industry
2018,Member States,SK,Slovakia,t CO2 equivalent,17138.18467,All greenhouse gases - (CO2 equivalent),Industry
2019,Member States,SK,Slovakia,t CO2 equivalent,14966.29334,All greenhouse gases - (CO2 equivalent),Industry
2020,Member States,SK,Slovakia,t CO2 equivalent,14013.02877,All greenhouse gases - (CO2 equivalent),Industry
2021,Member States,SK,Slovakia,t CO2 equivalent,16526.12585,All greenhouse gases - (CO2 equivalent),Industry
1990,Member States,SI,Slovenia,t CO2 equivalent,4462.955618,All greenhouse gases - (CO2 equivalent),Industry
1991,Member States,SI,Slovenia,t CO2 equivalent,4133.286212,All greenhouse gases - (CO2 equivalent),Industry
1992,Member States,SI,Slovenia,t CO2 equivalent,3632.995517,All greenhouse gases - (CO2 equivalent),Industry
1993,Member States,SI,Slovenia,t CO2 equivalent,3387.275044,All greenhouse gases - (CO2 equivalent),Industry
1994,Member States,SI,Slovenia,t CO2 equivalent,3732.18573,All greenhouse gases - (CO2 equivalent),Industry
1995,Member States,SI,Slovenia,t CO2 equivalent,3686.848395,All greenhouse gases - (CO2 equivalent),Industry
1996,Member States,SI,Slovenia,t CO2 equivalent,3579.212259,All greenhouse gases - (CO2 equivalent),Industry
1997,Member States,SI,Slovenia,t CO2 equivalent,3397.437942,All greenhouse gases - (CO2 equivalent),Industry
1998,Member States,SI,Slovenia,t CO2 equivalent,3356.690284,All greenhouse gases - (CO2 equivalent),Industry
1999,Member States,SI,Slovenia,t CO2 equivalent,3395.653646,All greenhouse gases - (CO2 equivalent),Industry
2000,Member States,SI,Slovenia,t CO2 equivalent,3434.562313,All greenhouse gases - (CO2 equivalent),Industry
2001,Member States,SI,Slovenia,t CO2 equivalent,3409.612994,All greenhouse gases - (CO2 equivalent),Industry
2002,Member States,SI,Slovenia,t CO2 equivalent,3448.371052,All greenhouse gases - (CO2 equivalent),Industry
2003,Member States,SI,Slovenia,t CO2 equivalent,3446.331937,All greenhouse gases - (CO2 equivalent),Industry
2004,Member States,SI,Slovenia,t CO2 equivalent,3647.256764,All greenhouse gases - (CO2 equivalent),Industry
2005,Member States,SI,Slovenia,t CO2 equivalent,3855.735044,All greenhouse gases - (CO2 equivalent),Industry
2006,Member States,SI,Slovenia,t CO2 equivalent,4038.784892,All greenhouse gases - (CO2 equivalent),Industry
