Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,SK,Slovakia,t CO2 equivalent,722.5205506,All greenhouse gases - (CO2 equivalent),Other combustion
1991,Member States,SK,Slovakia,t CO2 equivalent,652.1569905,All greenhouse gases - (CO2 equivalent),Other combustion
1992,Member States,SK,Slovakia,t CO2 equivalent,590.4286894,All greenhouse gases - (CO2 equivalent),Other combustion
1993,Member States,SK,Slovakia,t CO2 equivalent,555.5238048,All greenhouse gases - (CO2 equivalent),Other combustion
1994,Member States,SK,Slovakia,t CO2 equivalent,499.7172546,All greenhouse gases - (CO2 equivalent),Other combustion
1995,Member States,SK,Slovakia,t CO2 equivalent,529.6318951,All greenhouse gases - (CO2 equivalent),Other combustion
1996,Member States,SK,Slovakia,t CO2 equivalent,528.1463037,All greenhouse gases - (CO2 equivalent),Other combustion
1997,Member States,SK,Slovakia,t CO2 equivalent,481.0224747,All greenhouse gases - (CO2 equivalent),Other combustion
1998,Member States,SK,Slovakia,t CO2 equivalent,480.0251173,All greenhouse gases - (CO2 equivalent),Other combustion
1999,Member States,SK,Slovakia,t CO2 equivalent,454.6722199,All greenhouse gases - (CO2 equivalent),Other combustion
2000,Member States,SK,Slovakia,t CO2 equivalent,585.39362,All greenhouse gases - (CO2 equivalent),Other combustion
2001,Member States,SK,Slovakia,t CO2 equivalent,589.4793934,All greenhouse gases - (CO2 equivalent),Other combustion
2002,Member States,SK,Slovakia,t CO2 equivalent,558.8144003,All greenhouse gases - (CO2 equivalent),Other combustion
2003,Member States,SK,Slovakia,t CO2 equivalent,567.7105101,All greenhouse gases - (CO2 equivalent),Other combustion
2004,Member States,SK,Slovakia,t CO2 equivalent,605.0442878,All greenhouse gases - (CO2 equivalent),Other combustion
2005,Member States,SK,Slovakia,t CO2 equivalent,617.6605732,All greenhouse gases - (CO2 equivalent),Other combustion
2006,Member States,SK,Slovakia,t CO2 equivalent,622.4730268,All greenhouse gases - (CO2 equivalent),Other combustion
2007,Member States,SK,Slovakia,t CO2 equivalent,556.9493792,All greenhouse gases - (CO2 equivalent),Other combustion
2008,Member States,SK,Slovakia,t CO2 equivalent,557.2663104,All greenhouse gases - (CO2 equivalent),Other combustion
2009,Member States,SK,Slovakia,t CO2 equivalent,539.9762554,All greenhouse gases - (CO2 equivalent),Other combustion
2010,Member States,SK,Slovakia,t CO2 equivalent,525.9873288,All greenhouse gases - (CO2 equivalent),Other combustion
2011,Member States,SK,Slovakia,t CO2 equivalent,536.7266163,All greenhouse gases - (CO2 equivalent),Other combustion
2012,Member States,SK,Slovakia,t CO2 equivalent,523.6146451,All greenhouse gases - (CO2 equivalent),Other combustion
2013,Member States,SK,Slovakia,t CO2 equivalent,530.8749692,All greenhouse gases - (CO2 equivalent),Other combustion
