Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,SK,Slovakia,t CO2 equivalent,11387.44266,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1991,Member States,SK,Slovakia,t CO2 equivalent,10412.72942,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1992,Member States,SK,Slovakia,t CO2 equivalent,9963.606992,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1993,Member States,SK,Slovakia,t CO2 equivalent,8354.430449,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1994,Member States,SK,Slovakia,t CO2 equivalent,7571.804154,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1995,Member States,SK,Slovakia,t CO2 equivalent,7039.906998,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1996,Member States,SK,Slovakia,t CO2 equivalent,6884.732864,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1997,Member States,SK,Slovakia,t CO2 equivalent,7288.272351,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1998,Member States,SK,Slovakia,t CO2 equivalent,7058.321441,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1999,Member States,SK,Slovakia,t CO2 equivalent,6906.574579,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2000,Member States,SK,Slovakia,t CO2 equivalent,6341.4679,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2001,Member States,SK,Slovakia,t CO2 equivalent,6808.943708,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2002,Member States,SK,Slovakia,t CO2 equivalent,6366.726998,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2003,Member States,SK,Slovakia,t CO2 equivalent,5924.99426,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2004,Member States,SK,Slovakia,t CO2 equivalent,5640.009467,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2005,Member States,SK,Slovakia,t CO2 equivalent,6262.357404,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2006,Member States,SK,Slovakia,t CO2 equivalent,6251.179271,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2007,Member States,SK,Slovakia,t CO2 equivalent,5706.816986,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2008,Member States,SK,Slovakia,t CO2 equivalent,5923.807934,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2009,Member States,SK,Slovakia,t CO2 equivalent,5970.727141,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2010,Member States,SK,Slovakia,t CO2 equivalent,6303.972192,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2011,Member States,SK,Slovakia,t CO2 equivalent,4892.729076,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2012,Member States,SK,Slovakia,t CO2 equivalent,5158.296309,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2013,Member States,SK,Slovakia,t CO2 equivalent,5416.756775,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2014,Member States,SK,Slovakia,t CO2 equivalent,4337.494603,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2015,Member States,SK,Slovakia,t CO2 equivalent,4503.953016,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2016,Member States,SK,Slovakia,t CO2 equivalent,4545.331848,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2017,Member States,SK,Slovakia,t CO2 equivalent,5000.601015,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2018,Member States,SK,Slovakia,t CO2 equivalent,4517.921145,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2019,Member States,SK,Slovakia,t CO2 equivalent,4448.10365,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2020,Member States,SK,Slovakia,t CO2 equivalent,4321.517491,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2021,Member States,SK,Slovakia,t CO2 equivalent,4940.100128,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1990,Member States,SI,Slovenia,t CO2 equivalent,1722.681639,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1991,Member States,SI,Slovenia,t CO2 equivalent,1981.258176,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1992,Member States,SI,Slovenia,t CO2 equivalent,1755.885551,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1993,Member States,SI,Slovenia,t CO2 equivalent,2061.48089,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1994,Member States,SI,Slovenia,t CO2 equivalent,1940.027948,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1995,Member States,SI,Slovenia,t CO2 equivalent,2107.696558,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1996,Member States,SI,Slovenia,t CO2 equivalent,2735.243819,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1997,Member States,SI,Slovenia,t CO2 equivalent,2864.509941,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1998,Member States,SI,Slovenia,t CO2 equivalent,2939.591688,All greenhouse gases - (CO2 equivalent),Residential and Commercial
1999,Member States,SI,Slovenia,t CO2 equivalent,3162.048463,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2000,Member States,SI,Slovenia,t CO2 equivalent,2534.596515,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2001,Member States,SI,Slovenia,t CO2 equivalent,2967.026532,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2002,Member States,SI,Slovenia,t CO2 equivalent,2788.445225,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2003,Member States,SI,Slovenia,t CO2 equivalent,2723.41243,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2004,Member States,SI,Slovenia,t CO2 equivalent,2674.968127,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2005,Member States,SI,Slovenia,t CO2 equivalent,2459.331322,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2006,Member States,SI,Slovenia,t CO2 equivalent,2202.376151,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2007,Member States,SI,Slovenia,t CO2 equivalent,1785.574116,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2008,Member States,SI,Slovenia,t CO2 equivalent,2134.919784,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2009,Member States,SI,Slovenia,t CO2 equivalent,2055.487556,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2010,Member States,SI,Slovenia,t CO2 equivalent,2075.880485,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2011,Member States,SI,Slovenia,t CO2 equivalent,1824.414277,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2012,Member States,SI,Slovenia,t CO2 equivalent,1563.309888,All greenhouse gases - (CO2 equivalent),Residential and Commercial
2013,Member States,SI,Slovenia,t CO2 equivalent,1485.556916,All greenhouse gases - (CO2 equivalent),Residential and Commercial
