Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,SK,Slovakia,t CO2 equivalent,65.209246850,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1991,Member States,SK,Slovakia,t CO2 equivalent,57.319738957,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1992,Member States,SK,Slovakia,t CO2 equivalent,54.136100988,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1993,Member States,SK,Slovakia,t CO2 equivalent,44.558012930,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1994,Member States,SK,Slovakia,t CO2 equivalent,42.536195896,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1995,Member States,SK,Slovakia,t CO2 equivalent,56.878604445,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1996,Member States,SK,Slovakia,t CO2 equivalent,48.914218361,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1997,Member States,SK,Slovakia,t CO2 equivalent,29.113915316,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1998,Member States,SK,Slovakia,t CO2 equivalent,40.559624275,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1999,Member States,SK,Slovakia,t CO2 equivalent,8.623922124,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2000,Member States,SK,Slovakia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2001,Member States,SK,Slovakia,t CO2 equivalent,26.423220078,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2002,Member States,SK,Slovakia,t CO2 equivalent,28.707443856,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2003,Member States,SK,Slovakia,t CO2 equivalent,21.485714130,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2004,Member States,SK,Slovakia,t CO2 equivalent,8.363493378,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2005,Member States,SK,Slovakia,t CO2 equivalent,0.671757159,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2006,Member States,SK,Slovakia,t CO2 equivalent,29.934187493,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2007,Member States,SK,Slovakia,t CO2 equivalent,32.018653777,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2008,Member States,SK,Slovakia,t CO2 equivalent,34.191859610,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2009,Member States,SK,Slovakia,t CO2 equivalent,31.328696273,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2010,Member States,SK,Slovakia,t CO2 equivalent,33.012255901,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2011,Member States,SK,Slovakia,t CO2 equivalent,28.742618909,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2012,Member States,SK,Slovakia,t CO2 equivalent,9.200479083,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2013,Member States,SK,Slovakia,t CO2 equivalent,12.737937440,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2014,Member States,SK,Slovakia,t CO2 equivalent,14.395681954,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2015,Member States,SK,Slovakia,t CO2 equivalent,22.101802132,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2016,Member States,SK,Slovakia,t CO2 equivalent,18.937593310,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2017,Member States,SK,Slovakia,t CO2 equivalent,18.654192959,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2018,Member States,SK,Slovakia,t CO2 equivalent,10.974933189,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2019,Member States,SK,Slovakia,t CO2 equivalent,15.948485897,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2020,Member States,SK,Slovakia,t CO2 equivalent,14.984177269,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
2021,Member States,SK,Slovakia,t CO2 equivalent,17.2597971,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1990,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1991,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1992,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1993,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1994,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1995,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1996,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1997,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1998,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
1999,Member States,SI,Slovenia,t CO2 equivalent,,All greenhouse gases - (CO2 equivalent),1.D.1.b - International Navigation
