Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,SK,Slovakia,t CO2 equivalent,64626.421068061,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1991,Member States,SK,Slovakia,t CO2 equivalent,54383.110630478,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1992,Member States,SK,Slovakia,t CO2 equivalent,48021.612884120,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1993,Member States,SK,Slovakia,t CO2 equivalent,44836.556288887,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1994,Member States,SK,Slovakia,t CO2 equivalent,42826.362943232,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1995,Member States,SK,Slovakia,t CO2 equivalent,43880.201162613,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1996,Member States,SK,Slovakia,t CO2 equivalent,43783.541052120,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1997,Member States,SK,Slovakia,t CO2 equivalent,43785.847981726,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1998,Member States,SK,Slovakia,t CO2 equivalent,42020.912491645,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1999,Member States,SK,Slovakia,t CO2 equivalent,41563.183333492,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2000,Member States,SK,Slovakia,t CO2 equivalent,39703.990145600,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2001,Member States,SK,Slovakia,t CO2 equivalent,42680.776940091,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2002,Member States,SK,Slovakia,t CO2 equivalent,40825.291852586,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2003,Member States,SK,Slovakia,t CO2 equivalent,41502.349897495,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2004,Member States,SK,Slovakia,t CO2 equivalent,42206.350390764,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2005,Member States,SK,Slovakia,t CO2 equivalent,46124.372951731,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2006,Member States,SK,Slovakia,t CO2 equivalent,42851.995529548,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2007,Member States,SK,Slovakia,t CO2 equivalent,41568.304081863,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2008,Member States,SK,Slovakia,t CO2 equivalent,43207.746096292,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2009,Member States,SK,Slovakia,t CO2 equivalent,39116.792374865,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2010,Member States,SK,Slovakia,t CO2 equivalent,40769.251721184,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2011,Member States,SK,Slovakia,t CO2 equivalent,39498.696321516,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2012,Member States,SK,Slovakia,t CO2 equivalent,35966.903524961,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2013,Member States,SK,Slovakia,t CO2 equivalent,34872.292473801,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2014,Member States,SK,Slovakia,t CO2 equivalent,35091.013858858,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2015,Member States,SK,Slovakia,t CO2 equivalent,35337.667383029,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2016,Member States,SK,Slovakia,t CO2 equivalent,35716.182829406,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2017,Member States,SK,Slovakia,t CO2 equivalent,36926.976239400,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2018,Member States,SK,Slovakia,t CO2 equivalent,37774.953465387,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2019,Member States,SK,Slovakia,t CO2 equivalent,34689.173101763,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2020,Member States,SK,Slovakia,t CO2 equivalent,29608.495770847,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2021,Member States,SK,Slovakia,t CO2 equivalent,33695.263235832,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1990,Member States,SI,Slovenia,t CO2 equivalent,14452.337353374,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1991,Member States,SI,Slovenia,t CO2 equivalent,12721.575084923,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1992,Member States,SI,Slovenia,t CO2 equivalent,12602.325584283,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1993,Member States,SI,Slovenia,t CO2 equivalent,12852.189265994,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1994,Member States,SI,Slovenia,t CO2 equivalent,13085.914801543,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1995,Member States,SI,Slovenia,t CO2 equivalent,13784.848440565,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1996,Member States,SI,Slovenia,t CO2 equivalent,13807.567213196,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1997,Member States,SI,Slovenia,t CO2 equivalent,14139.178114927,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1998,Member States,SI,Slovenia,t CO2 equivalent,13586.660164054,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1999,Member States,SI,Slovenia,t CO2 equivalent,12944.709218897,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2000,Member States,SI,Slovenia,t CO2 equivalent,12637.918970704,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2001,Member States,SI,Slovenia,t CO2 equivalent,13869.951851408,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2002,Member States,SI,Slovenia,t CO2 equivalent,13033.847190858,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2003,Member States,SI,Slovenia,t CO2 equivalent,13005.403146382,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2004,Member States,SI,Slovenia,t CO2 equivalent,13258.890794108,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2005,Member States,SI,Slovenia,t CO2 equivalent,13548.906530191,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2006,Member States,SI,Slovenia,t CO2 equivalent,13757.167325952,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2007,Member States,SI,Slovenia,t CO2 equivalent,13716.659843696,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2008,Member States,SI,Slovenia,t CO2 equivalent,14756.365392000,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2009,Member States,SI,Slovenia,t CO2 equivalent,12510.584261361,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2010,Member States,SI,Slovenia,t CO2 equivalent,12764.472792842,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2011,Member States,SI,Slovenia,t CO2 equivalent,12822.919655117,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2012,Member States,SI,Slovenia,t CO2 equivalent,12306.329954151,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2013,Member States,SI,Slovenia,t CO2 equivalent,13349.741821180,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2014,Member States,SI,Slovenia,t CO2 equivalent,17693.422645063,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2015,Member States,SI,Slovenia,t CO2 equivalent,18004.035182916,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2016,Member States,SI,Slovenia,t CO2 equivalent,19207.966913612,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2017,Member States,SI,Slovenia,t CO2 equivalent,19398.506241565,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2018,Member States,SI,Slovenia,t CO2 equivalent,19571.490057766,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2019,Member States,SI,Slovenia,t CO2 equivalent,14556.813543214,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2020,Member States,SI,Slovenia,t CO2 equivalent,13240.113152800,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2021,Member States,SI,Slovenia,t CO2 equivalent,13310.345963482,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1990,Member States,SE,Sweden,t CO2 equivalent,28861.904638186,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1991,Member States,SE,Sweden,t CO2 equivalent,29269.187620313,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1992,Member States,SE,Sweden,t CO2 equivalent,30069.871504944,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1993,Member States,SE,Sweden,t CO2 equivalent,34527.221206590,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1994,Member States,SE,Sweden,t CO2 equivalent,36127.190780006,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1995,Member States,SE,Sweden,t CO2 equivalent,35548.503676249,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1996,Member States,SE,Sweden,t CO2 equivalent,37116.251167478,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1997,Member States,SE,Sweden,t CO2 equivalent,32242.219472775,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1998,Member States,SE,Sweden,t CO2 equivalent,32915.730454056,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1999,Member States,SE,Sweden,t CO2 equivalent,29574.09951059,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2000,Member States,SE,Sweden,t CO2 equivalent,26987.996701922,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2001,Member States,SE,Sweden,t CO2 equivalent,26710.871888922,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2002,Member States,SE,Sweden,t CO2 equivalent,27480.824263650,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2003,Member States,SE,Sweden,t CO2 equivalent,32042.933590102,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2004,Member States,SE,Sweden,t CO2 equivalent,34916.032438194,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2005,Member States,SE,Sweden,t CO2 equivalent,31836.005958754,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2006,Member States,SE,Sweden,t CO2 equivalent,24964.006366291,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2007,Member States,SE,Sweden,t CO2 equivalent,26033.160467759,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2008,Member States,SE,Sweden,t CO2 equivalent,23952.545001808,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2009,Member States,SE,Sweden,t CO2 equivalent,19921.706226732,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2010,Member States,SE,Sweden,t CO2 equivalent,23153.356422632,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2011,Member States,SE,Sweden,t CO2 equivalent,16963.887703377,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2012,Member States,SE,Sweden,t CO2 equivalent,13618.984731872,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2013,Member States,SE,Sweden,t CO2 equivalent,13527.429744027,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2014,Member States,SE,Sweden,t CO2 equivalent,13781.140607231,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2015,Member States,SE,Sweden,t CO2 equivalent,15178.108751216,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2016,Member States,SE,Sweden,t CO2 equivalent,17216.719538964,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2017,Member States,SE,Sweden,t CO2 equivalent,23955.718741189,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2018,Member States,SE,Sweden,t CO2 equivalent,24886.420909548,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2019,Member States,SE,Sweden,t CO2 equivalent,22023.217565282,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2020,Member States,SE,Sweden,t CO2 equivalent,14174.664429890,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
2021,Member States,SE,Sweden,t CO2 equivalent,15173.537550705,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1990,Member States,RO,Romania,t CO2 equivalent,229329.420686803,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1991,Member States,RO,Romania,t CO2 equivalent,181901.704100558,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1992,Member States,RO,Romania,t CO2 equivalent,165196.85400948,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1993,Member States,RO,Romania,t CO2 equivalent,153379.091274169,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1994,Member States,RO,Romania,t CO2 equivalent,150936.572736902,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1995,Member States,RO,Romania,t CO2 equivalent,158247.548734358,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1996,Member States,RO,Romania,t CO2 equivalent,161757.678498529,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
1997,Member States,RO,Romania,t CO2 equivalent,154615.589403438,All greenhouse gases - (CO2 equivalent),Total net emissions with international transport (EEA)
