Year of Date,Color EU,country code (Country GHG viewer),Name (extra),Unit,Measure calc,Gas,Sector Name
1990,Member States,SK,Slovakia,t CO2 equivalent,1536.836335503,All greenhouse gases - (CO2 equivalent),5 - Waste management
1991,Member States,SK,Slovakia,t CO2 equivalent,1546.604106591,All greenhouse gases - (CO2 equivalent),5 - Waste management
1992,Member States,SK,Slovakia,t CO2 equivalent,1536.538548023,All greenhouse gases - (CO2 equivalent),5 - Waste management
1993,Member States,SK,Slovakia,t CO2 equivalent,1536.070841245,All greenhouse gases - (CO2 equivalent),5 - Waste management
1994,Member States,SK,Slovakia,t CO2 equivalent,1428.225387552,All greenhouse gases - (CO2 equivalent),5 - Waste management
1995,Member States,SK,Slovakia,t CO2 equivalent,1428.702707380,All greenhouse gases - (CO2 equivalent),5 - Waste management
1996,Member States,SK,Slovakia,t CO2 equivalent,1429.829261075,All greenhouse gases - (CO2 equivalent),5 - Waste management
1997,Member States,SK,Slovakia,t CO2 equivalent,1449.674910193,All greenhouse gases - (CO2 equivalent),5 - Waste management
1998,Member States,SK,Slovakia,t CO2 equivalent,1474.022079344,All greenhouse gases - (CO2 equivalent),5 - Waste management
1999,Member States,SK,Slovakia,t CO2 equivalent,1489.188427833,All greenhouse gases - (CO2 equivalent),5 - Waste management
2000,Member States,SK,Slovakia,t CO2 equivalent,1511.304329093,All greenhouse gases - (CO2 equivalent),5 - Waste management
2001,Member States,SK,Slovakia,t CO2 equivalent,1531.600539196,All greenhouse gases - (CO2 equivalent),5 - Waste management
2002,Member States,SK,Slovakia,t CO2 equivalent,1562.554525248,All greenhouse gases - (CO2 equivalent),5 - Waste management
2003,Member States,SK,Slovakia,t CO2 equivalent,1577.810810924,All greenhouse gases - (CO2 equivalent),5 - Waste management
2004,Member States,SK,Slovakia,t CO2 equivalent,1600.822394584,All greenhouse gases - (CO2 equivalent),5 - Waste management
2005,Member States,SK,Slovakia,t CO2 equivalent,1618.063951381,All greenhouse gases - (CO2 equivalent),5 - Waste management
2006,Member States,SK,Slovakia,t CO2 equivalent,1677.164637949,All greenhouse gases - (CO2 equivalent),5 - Waste management
2007,Member States,SK,Slovakia,t CO2 equivalent,1644.227361682,All greenhouse gases - (CO2 equivalent),5 - Waste management
2008,Member States,SK,Slovakia,t CO2 equivalent,1665.449795111,All greenhouse gases - (CO2 equivalent),5 - Waste management
2009,Member States,SK,Slovakia,t CO2 equivalent,1710.388177278,All greenhouse gases - (CO2 equivalent),5 - Waste management
2010,Member States,SK,Slovakia,t CO2 equivalent,1743.066106762,All greenhouse gases - (CO2 equivalent),5 - Waste management
2011,Member States,SK,Slovakia,t CO2 equivalent,1792.727918831,All greenhouse gases - (CO2 equivalent),5 - Waste management
2012,Member States,SK,Slovakia,t CO2 equivalent,1826.724110746,All greenhouse gases - (CO2 equivalent),5 - Waste management
2013,Member States,SK,Slovakia,t CO2 equivalent,1825.618885288,All greenhouse gases - (CO2 equivalent),5 - Waste management
2014,Member States,SK,Slovakia,t CO2 equivalent,1835.450943998,All greenhouse gases - (CO2 equivalent),5 - Waste management
2015,Member States,SK,Slovakia,t CO2 equivalent,1902.380673981,All greenhouse gases - (CO2 equivalent),5 - Waste management
2016,Member States,SK,Slovakia,t CO2 equivalent,1853.660611741,All greenhouse gases - (CO2 equivalent),5 - Waste management
2017,Member States,SK,Slovakia,t CO2 equivalent,1886.495775083,All greenhouse gases - (CO2 equivalent),5 - Waste management
2018,Member States,SK,Slovakia,t CO2 equivalent,1903.837690492,All greenhouse gases - (CO2 equivalent),5 - Waste management
2019,Member States,SK,Slovakia,t CO2 equivalent,1877.585197389,All greenhouse gases - (CO2 equivalent),5 - Waste management
2020,Member States,SK,Slovakia,t CO2 equivalent,1907.251403356,All greenhouse gases - (CO2 equivalent),5 - Waste management
2021,Member States,SK,Slovakia,t CO2 equivalent,1884.698894498,All greenhouse gases - (CO2 equivalent),5 - Waste management
1990,Member States,SI,Slovenia,t CO2 equivalent,773.364203504,All greenhouse gases - (CO2 equivalent),5 - Waste management
1991,Member States,SI,Slovenia,t CO2 equivalent,766.566804392,All greenhouse gases - (CO2 equivalent),5 - Waste management
1992,Member States,SI,Slovenia,t CO2 equivalent,732.752018201,All greenhouse gases - (CO2 equivalent),5 - Waste management
1993,Member States,SI,Slovenia,t CO2 equivalent,711.251987631,All greenhouse gases - (CO2 equivalent),5 - Waste management
1994,Member States,SI,Slovenia,t CO2 equivalent,716.567326489,All greenhouse gases - (CO2 equivalent),5 - Waste management
1995,Member States,SI,Slovenia,t CO2 equivalent,721.762062640,All greenhouse gases - (CO2 equivalent),5 - Waste management
1996,Member States,SI,Slovenia,t CO2 equivalent,728.730026443,All greenhouse gases - (CO2 equivalent),5 - Waste management
